Área geográfica,Internet ,Computadora,Teléfono celular  
Ciudad Autónoma de Buenos Aires,90.1,56.7,90.8
Partidos del Gran Buenos Aires,88.0,36.3,89.3
Gran Mendoza,88.9,33.3,84.2
Gran San Juan,89.2,50.7,93.7
Gran San Luis,90.9,30.1,88.0
Corrientes,91.3,39.7,93.6
Formosa,85.0,30.2,93.6
Gran Resistencia,88.4,35.2,91.9
Posadas,87.0,35.1,89.1
Gran Catamarca,91.5,29.9,92.9
Gran Tucumán-Tafí Viejo,87.2,21.8,85.9
Jujuy-Palpalá,89.4,36.5,86.0
La Rioja,84.9,48.8,87.5
Salta,91.0,34.5,85.1
Santiago del Estero-La Banda,84.3,28.5,80.2
Bahía Blanca-Cerri,90.5,33.4,88.1
Concordia,87.1,22.3,86.3
Gran Córdoba,87.6,40.1,86.9
Gran La Plata,90.5,49.7,90.7
Gran Rosario,85.8,41.8,92.1
Gran Paraná,91.1,53.0,89.9
Gran Santa Fe,86.0,38.6,86.0
Mar del Plata,88.3,28.3,91.8
Río Cuarto,83.1,35.9,87.4
Santa Rosa – Toay,87.6,28.3,93.9
San Nicolás-Villa Constitución,85.6,35.9,88.6
Comodoro Rivadavia-Rada Tilly,95.5,43.8,94.3
Neuquén-Plottier,88.1,50.8,91.9
Río Gallegos,95.6,55.5,93.5
Ushuaia-Río Grande,91.6,61.9,95.1
Rawson-Trelew,89.6,42.9,92.8
Viedma-Carmen de Patagones,92.8,57.3,91.9
